dataset,method,control_param_name,control_param_value,recall,qps,avg_verified_candidates
SPLADE-1M,SOSIA,ub,1000,0.6938,176.667,1050
SPLADE-1M,SOSIA,ub,2000,0.7924,165.715,2050
SPLADE-1M,SOSIA,ub,5000,0.8912,118.43,5050
SPLADE-1M,SOSIA,ub,10000,0.941,79.3575,10050
SPLADE-1M,SOSIA,ub,20000,0.9746,47.0653,20050
SPLADE-1M,SOSIA,ub,50000,0.9926,24.0376,50050
SPLADE-1M,CABS,nprobe,1,0.6876,2686.55,3198.43
SPLADE-1M,CABS,nprobe,2,0.8476,1643.8,6225.6
SPLADE-1M,CABS,nprobe,3,0.9411,872.951,12291.5
SPLADE-1M,CABS,nprobe,5,0.9626,716.058,15195
SPLADE-1M,CABS,nprobe,8,0.9827,469.066,23912.5
SPLADE-1M,CABS,nprobe,10,0.9877,389.313,29561.4
SPLADE-1M,CABS,nprobe,15,0.9895,283.457,41436.2
