dataset,target_recall,method,selected_param,actual_recall,qps,avg_verified_candidates,status,speedup_vs_sosia
SPLADE-1M,0.8,LinearScan,-,1,1.51449,1e+06,ok,0.009139
SPLADE-1M,0.8,SOSIA,2000,0.7924,165.715,2050,ok,1.000000
SPLADE-1M,0.8,CABS,2,0.8476,1643.8,6225.6,ok,9.919486
SPLADE-1M,0.8,WAND,N/A,N/A,N/A,N/A,skipped,N/A
SPLADE-1M,0.8,BinSketch,N/A,N/A,N/A,N/A,skipped:missing_best_config,N/A
SPLADE-1M,0.9,LinearScan,-,1,1.51449,1e+06,ok,0.012788
SPLADE-1M,0.9,SOSIA,5000,0.8912,118.43,5050,ok,1.000000
SPLADE-1M,0.9,CABS,3,0.9411,872.951,12291.5,ok,7.371004
SPLADE-1M,0.9,WAND,N/A,N/A,N/A,N/A,skipped,N/A
SPLADE-1M,0.9,BinSketch,N/A,N/A,N/A,N/A,skipped:missing_best_config,N/A
SPLADE-1M,0.94,LinearScan,-,1,1.51449,1e+06,ok,0.019084
SPLADE-1M,0.94,SOSIA,10000,0.941,79.3575,10050,ok,1.000000
SPLADE-1M,0.94,CABS,3,0.9411,872.951,12291.5,ok,11.000227
SPLADE-1M,0.94,WAND,N/A,N/A,N/A,N/A,skipped,N/A
SPLADE-1M,0.94,BinSketch,N/A,N/A,N/A,N/A,skipped:missing_best_config,N/A
SPLADE-1M,0.97,LinearScan,-,1,1.51449,1e+06,ok,0.032178
SPLADE-1M,0.97,SOSIA,20000,0.9746,47.0653,20050,ok,1.000000
SPLADE-1M,0.97,CABS,5,0.9626,716.058,15195,ok,15.214136
SPLADE-1M,0.97,WAND,N/A,N/A,N/A,N/A,skipped,N/A
SPLADE-1M,0.97,BinSketch,N/A,N/A,N/A,N/A,skipped:missing_best_config,N/A
SPLADE-1M,0.99,LinearScan,-,1,1.51449,1e+06,ok,0.063005
SPLADE-1M,0.99,SOSIA,50000,0.9926,24.0376,50050,ok,1.000000
SPLADE-1M,0.99,CABS,15,0.9895,283.457,41436.2,ok,11.792248
SPLADE-1M,0.99,WAND,N/A,N/A,N/A,N/A,skipped,N/A
SPLADE-1M,0.99,BinSketch,N/A,N/A,N/A,N/A,skipped:missing_best_config,N/A
