dataset,method,config_id,recall50,qps,avg_full_eval,query_count,wall_time_sec
SPLADE-0.1M,CABS,eta0.01_nprobe1,0.4569,9921.13,250.0,200,0.0
SPLADE-0.1M,CABS,eta0.01_nprobe3,0.7729,2349.57,1000.0,200,0.0
SPLADE-0.1M,CABS,eta0.01_nprobe5,0.8171,2066.31,1250.0,200,0.0
SPLADE-0.1M,CABS,eta0.01_nprobe8,0.8757,1579.42,1999.2,200,0.0
SPLADE-0.1M,CABS,eta0.02_nprobe1,0.4628,12078.8,264.425,200,0.0
SPLADE-0.1M,CABS,eta0.02_nprobe3,0.7789,5564.37,1059.98,200,0.0
SPLADE-0.1M,CABS,eta0.02_nprobe5,0.8227,4252.7,1325.77,200,0.0
SPLADE-0.1M,CABS,eta0.02_nprobe8,0.8808,3419.5,2117.64,200,0.0
SPLADE-0.1M,CABS,eta0.03_nprobe1,0.488,7698.53,351.125,200,0.0
SPLADE-0.1M,CABS,eta0.03_nprobe3,0.8056,3513.39,1401.12,200,0.0
SPLADE-0.1M,CABS,eta0.03_nprobe5,0.848,2345.88,1741.49,200,0.0
SPLADE-0.1M,CABS,eta0.03_nprobe8,0.9017,1577.29,2736.92,200,0.0
SPLADE-0.1M,SOSIA,T10000,0.9846,190.714,9955.79,200,0.0
SPLADE-0.1M,SOSIA,T2000,0.9004,477.884,2050.0,200,0.0
SPLADE-0.1M,SOSIA,T20000,0.9926,154.419,14093.2,200,0.0
SPLADE-0.1M,SOSIA,T5000,0.963,328.985,5050.0,200,0.0
SPLADE-0.1M,SOSIA,T50000,0.991,150.3,13976.2,200,0.0
SPLADE-10M,CABS,eta0.02_nprobe1,0.7548,141.587,19906.1,200,0.0
SPLADE-10M,CABS,eta0.02_nprobe3,0.964,50.3531,76096.1,200,0.0
SPLADE-10M,CABS,eta0.02_nprobe5,0.9755,39.0629,93869.5,200,0.0
SPLADE-10M,CABS,eta0.02_nprobe8,0.9938,28.9396,143590.0,200,0.0
SPLADE-10M,CABS,eta0.03_nprobe1,0.7577,295.924,29833.9,200,0.0
SPLADE-10M,CABS,eta0.03_nprobe3,0.9663,88.2,114043.0,200,0.0
SPLADE-10M,CABS,eta0.03_nprobe5,0.9777,73.1555,140678.0,200,0.0
SPLADE-10M,CABS,eta0.03_nprobe8,0.9957,49.6612,215183.0,200,0.0
SPLADE-10M,SOSIA,T10000,0.8842,12.0357,10050.0,200,0.0
SPLADE-10M,SOSIA,T2000,0.7338,13.8026,2050.0,200,0.0
SPLADE-10M,SOSIA,T20000,0.9196,10.6763,20050.0,200,0.0
SPLADE-10M,SOSIA,T5000,0.8262,12.7545,5050.0,200,0.0
SPLADE-10M,SOSIA,T50000,0.9636,8.06663,50050.0,200,0.0
SPLADE-1M,CABS,eta0.01_nprobe1,0.6318,4370.15,1104.27,200,0.0
SPLADE-1M,CABS,eta0.01_nprobe3,0.8981,1319.57,4238.62,200,0.0
SPLADE-1M,CABS,eta0.01_nprobe5,0.9227,1234.32,5269.69,200,0.0
SPLADE-1M,CABS,eta0.01_nprobe8,0.9498,913.972,8158.0,200,0.0
SPLADE-1M,CABS,eta0.02_nprobe1,0.6684,1640.07,2157.88,200,0.0
SPLADE-1M,CABS,eta0.02_nprobe3,0.9285,569.882,8274.55,200,0.0
SPLADE-1M,CABS,eta0.02_nprobe5,0.951,486.669,10286.1,200,0.0
SPLADE-1M,CABS,eta0.02_nprobe8,0.9731,411.568,15910.5,200,0.0
SPLADE-1M,CABS,eta0.03_nprobe1,0.6813,1207.18,3211.62,200,0.0
SPLADE-1M,CABS,eta0.03_nprobe3,0.9394,501.339,12311.1,200,0.0
SPLADE-1M,CABS,eta0.03_nprobe5,0.9612,380.238,15303.1,200,0.0
SPLADE-1M,CABS,eta0.03_nprobe8,0.9799,240.686,23664.1,200,0.0
SPLADE-1M,SOSIA,T10000,0.9386,68.3881,10050.0,200,0.0
SPLADE-1M,SOSIA,T2000,0.8048,138.026,2050.0,200,0.0
SPLADE-1M,SOSIA,T20000,0.9746,44.2957,20050.0,200,0.0
SPLADE-1M,SOSIA,T5000,0.892,103.166,5050.0,200,0.0
SPLADE-1M,SOSIA,T50000,0.992,23.8362,50050.0,200,0.0
