dataset,method,target_recall,best_config_id,recall50,qps,avg_full_eval,compact_cell
SPLADE-0.1M,CABS,0.90,K20_tau0.7_eta0.03_nprobe10,0.9412,2649.3200,3270.02,2649 (3.3k)
SPLADE-0.1M,CABS,0.91,K20_tau0.7_eta0.03_nprobe10,0.9412,2649.3200,3270.02,2649 (3.3k)
SPLADE-0.1M,CABS,0.92,K20_tau0.7_eta0.03_nprobe10,0.9412,2649.3200,3270.02,2649 (3.3k)
SPLADE-0.1M,CABS,0.93,K20_tau0.7_eta0.03_nprobe10,0.9412,2649.3200,3270.02,2649 (3.3k)
SPLADE-0.1M,CABS,0.94,K20_tau0.7_eta0.03_nprobe10,0.9412,2649.3200,3270.02,2649 (3.3k)
SPLADE-0.1M,CABS,0.95,K20_tau0.7_eta0.05_nprobe10,0.9625,2109.6600,4970.71,2110 (5.0k)
SPLADE-0.1M,CABS,0.96,K20_tau0.7_eta0.05_nprobe10,0.9625,2109.6600,4970.71,2110 (5.0k)
SPLADE-0.1M,CABS,0.97,K20_tau0.7_eta0.05_nprobe15,0.9708,1509.4500,7251.06,1509 (7.3k)
SPLADE-0.1M,CABS,0.98,N/A,N/A,N/A,N/A,N/A
SPLADE-0.1M,CABS,0.99,N/A,N/A,N/A,N/A,N/A
